,0,1,2,3,4,5,6,7,8,,,
74,舒服还是不舒服了,因为我会死吗,什么,我没这么说,但每个人都会死对吧,只不过有人死的早了点,以一种更可怕痛苦的方式死去,你为谁工作,詹妮弗彼得,,,舒服还是不舒服了因为我会死吗什么我没这么说但每个人都会死对吧只不过有人死的早了点以一种更可怕痛苦的方式死去你为谁工作詹妮弗彼得
75,骗人,不好意思,骗人,詹妮弗没从疗养院给你打电话,你以为我会蠢到让我的新被监护人,轻易拿到能打通的电话,我从她的文件里得知她的律师是,处理家庭法的本地人不是你,你是一条,,,骗人不好意思骗人詹妮弗没从疗养院给你打电话你以为我会蠢到让我的新被监护人轻易拿到能打通的电话我从她的文件里得知她的律师是处理家庭法的本地人不是你你是一条
76,想威胁我的恶鲨,我想知道是谁雇了你,让她脱离你的监护,不迪恩,我不觉得我会这样做,我以为没必要用这招呢,这是十五万美元现金,出手真大方,你放她走这就都是你的,,,想威胁我的恶鲨我想知道是谁雇了你让她脱离你的监护不迪恩我不觉得我会这样做我以为没必要用这招呢这是十五万美元现金出手真大方你放她走这就都是你的
77,你知道我怎么想吗迪恩,如果你谈判的开场白是十五万美元,那么对于派你来的人来说,詹妮弗彼得森的价值,要远远超过这个价值,我可以涨到二十五万,这样吧,五百万,三开头的吧,,,你知道我怎么想吗迪恩如果你谈判的开场白是十五万美元那么对于派你来的人来说詹妮弗彼得森的价值要远远超过这个价值我可以涨到二十五万这样吧五百万三开头的吧
78,三亿,三十万,这是最终报价,迪恩我有着法律责任,詹妮弗彼得森需要我的保护,我怎么能抛弃她呢,你是在拒绝吗,我是在拒绝,我在说不行谢谢,,,三亿三十万这是最终报价迪恩我有着法律责任詹妮弗彼得森需要我的保护我怎么能抛弃她呢你是在拒绝吗我是在拒绝我在说不行谢谢
79,在接下来的几天里,你会在脑海中一次又一次地,回想这次对话,并且会希望你做出了不同的选择,现在看看你所拥有的吧,蒸蒸日上的生意,员工,一张漂亮的脸蛋还没折的骨头,性命,,,在接下来的几天里你会在脑海中一次又一次地回想这次对话并且会希望你做出了不同的选择现在看看你所拥有的吧蒸蒸日上的生意员工一张漂亮的脸蛋还没折的骨头性命
80,等这件事结束你就不会有这些了,一个都不剩,这是最后的机会,再见迪恩,你出去之后柯蒂斯会帮你取车,我往回查过了,她一直到她出生证明的记录,我在她的一生中找不到,我们值得畏惧的人,,,等这件事结束你就不会有这些了一个都不剩这是最后的机会再见迪恩你出去之后柯蒂斯会帮你取车我往回查过了她一直到她出生证明的记录我在她的一生中找不到我们值得畏惧的人
81,那这个律师是谁,也许他知道钻石的事,对我也是这个看法,也许他指望着我们呢,他害怕我们找到那些钻石,也许你应该接受那些现金,然后放弃我们有史以来最好的机会,如果他说的是真的该怎么办,关于什么,,,那这个律师是谁也许他知道钻石的事对我也是这个看法也许他指望着我们呢他害怕我们找到那些钻石也许你应该接受那些现金然后放弃我们有史以来最好的机会如果他说的是真的该怎么办关于什么
82,关于威胁,你知道我被男人威胁过多少次吗,几千次,你知道我有多少次,真正遇到麻烦了吗,两次,他威胁我因为那是他唯一能做的了,你无法让一个女人做你希望的事情,还同时骂她是婊子威胁要杀了她,,,关于威胁你知道我被男人威胁过多少次吗几千次你知道我有多少次真正遇到麻烦了吗两次他威胁我因为那是他唯一能做的了你无法让一个女人做你希望的事情还同时骂她是婊子威胁要杀了她
83,我不怕他,好吧,那你想怎样,我要去找总有解决办法的人谈谈,她怎么样了,她来了之后一直很不安定,他们都是这样的,是但是她尤其强烈,医生不得不给她注射药物,,,我不怕他好吧那你想怎样我要去找总有解决办法的人谈谈她怎么样了她来了之后一直很不安定他们都是这样的是但是她尤其强烈医生不得不给她注射药物
84,来让她安静两次了,她在游戏室但我必须警告你,我们没办法只能给她打了镇定剂,所以她可能还没过药劲,我今天要展示给你们,它用普通的芝士,詹妮弗,你感觉怎么样,我为什么会认识你,,,来让她安静两次了她在游戏室但我必须警告你我们没办法只能给她打了镇定剂所以她可能还没过药劲我今天要展示给你们它用普通的芝士詹妮弗你感觉怎么样我为什么会认识你
85,我是你的监护人玛拉,谢天谢地我需要帮助,我需要我的手机,打给谁,什么,你需要打给谁,为什么,詹妮弗你认识一个,叫迪恩埃里克森的人吗,,,我是你的监护人玛拉谢天谢地我需要帮助我需要我的手机打给谁什么你需要打给谁为什么詹妮弗你认识一个叫迪恩埃里克森的人吗
86,谁什么,迪恩,迪恩埃里克森你认识他吗,迪恩,不我不认识,不认识,他说他为你工作他说他是位律师,律师,他看着很贵吗,,,谁什么迪恩迪恩埃里克森你认识他吗迪恩不我不认识不认识他说他为你工作他说他是位律师律师他看着很贵吗
87,这个嘛,是吧我想,今天几号,十五号,八号在上周,没错,现在你有麻烦了,真的吗为什么,是的他要来了,,,这个嘛是吧我想今天几号十五号八号在上周没错现在你有麻烦了真的吗为什么是的他要来了
88,谁迪恩,不是,他要来了,谁,你就等着吧,詹妮弗你是谁,打了好多药,药我没法思考了,告诉我你是谁,,,谁迪恩不是他要来了谁你就等着吧詹妮弗你是谁打了好多药药我没法思考了告诉我你是谁
89,告诉我,你知道我有打开你保险箱的权限,我知道里面有什么,书里面,有个袋子,告诉我你是谁,你是个强盗,不我是你的监护人,你是我的监护人强盗,,,告诉我你知道我有打开你保险箱的权限我知道里面有什么书里面有个袋子告诉我你是谁你是个强盗不我是你的监护人你是我的监护人强盗
90,告诉我你是谁詹妮弗,告诉我,我是你犯下的最严重的失误,告诉我,手机,告诉我,你不肯把我的手机还我,你不让我离开这个地方,我是什么都不会说的,,,告诉我你是谁詹妮弗告诉我我是你犯下的最严重的失误告诉我手机告诉我你不肯把我的手机还我你不让我离开这个地方我是什么都不会说的
91,听我说,什么都不会,我控制着你的药物你的食物,你的舒适与否,你的一切,是我不是你,是我,对,我可以让你的一切变得很糟,,,听我说什么都不会我控制着你的药物你的食物你的舒适与否你的一切是我不是你是我对我可以让你的一切变得很糟
92,你听到我说的了,是吗,是啊,那就来啊你个小王八犊子,放马过来吧,不好意思,玛拉葛蕾森,我最爱的女士,山姆我想让你调整,,,你听到我说的了是吗是啊那就来啊你个小王八犊子放马过来吧不好意思玛拉葛蕾森我最爱的女士山姆我想让你调整
93,詹妮弗彼得森的日程,请讲,把她的关节炎和止痛类药物,减少至最低,把她的体育锻炼升到第四等级,玛拉,晚上九点给她上兴奋剂,然后白天打镇静剂,只给她吃基础食物套餐,,,詹妮弗彼得森的日程请讲把她的关节炎和止痛类药物减少至最低把她的体育锻炼升到第四等级玛拉晚上九点给她上兴奋剂然后白天打镇静剂只给她吃基础食物套餐
94,没有固体食物只有麦片和汤,没有游戏没有电视,每天只允许离开她的房间三十分钟,你确定吗,我非常确定,好,多谢了山姆,布莱顿信托银行,法官大人詹妮弗彼得森最近,,,没有固体食物只有麦片和汤没有游戏没有电视每天只允许离开她的房间三十分钟你确定吗我非常确定好多谢了山姆布莱顿信托银行法官大人詹妮弗彼得森最近
95,在违背意愿的情况下,被送进了疗养院,她被这个女人丢在那儿,她虚伪地宣称詹妮弗有着健康问题,而实际上她当时状态非常好,你是哪位先生,我从没在这儿见过你,迪恩埃里克森法官大人,这些都是我的同事,,,在违背意愿的情况下被送进了疗养院她被这个女人丢在那儿她虚伪地宣称詹妮弗有着健康问题而实际上她当时状态非常好你是哪位先生我从没在这儿见过你迪恩埃里克森法官大人这些都是我的同事
96,我仅代表詹妮弗彼得森的利益,我是来挽救缺席的正义,你是在说我应该对,正义的缺席负责,不是有意的法官大人您被欺骗了,我的委托人没有被邀请参加初审听审,也没请代理人,这对紧急听审来说非常正常,但这个案子里不存在紧急情况,,,我仅代表詹妮弗彼得森的利益我是来挽救缺席的正义你是在说我应该对正义的缺席负责不是有意的法官大人您被欺骗了我的委托人没有被邀请参加初审听审也没请代理人这对紧急听审来说非常正常但这个案子里不存在紧急情况
97,这是被葛蕾森女士虚构出来,为了不让詹妮弗出席并欺瞒法院,我有一份来自,曾跟随艾莫斯医生实习的,前雇员的证词,能够证明,葛蕾森女士和艾莫斯医生,经常在病例上串通,来钻这个体系的空子,,,这是被葛蕾森女士虚构出来为了不让詹妮弗出席并欺瞒法院我有一份来自曾跟随艾莫斯医生实习的前雇员的证词能够证明葛蕾森女士和艾莫斯医生经常在病例上串通来钻这个体系的空子
98,我引用证词,无论他们是否需要监护人,凯伦都会把棘手的病人卖给玛拉,然后夸大病人症状,来控制法庭的宣判,法官大人,这种做法太无耻了,法官我可以发言吗,菲奥娜雅各布斯是你的证人,,,我引用证词无论他们是否需要监护人凯伦都会把棘手的病人卖给玛拉然后夸大病人症状来控制法庭的宣判法官大人这种做法太无耻了法官我可以发言吗菲奥娜雅各布斯是你的证人
99,是的她是雇员之一是的,法官你是知道菲奥娜记恨凯伦的,她不是一个公正的证人,菲奥娜对凯伦一直怀有积怨,因为凯伦曾因她工作差劲开除了她,凯伦开除她也可能是因为,她要掩盖你们行为的真正本质,我认识菲奥娜她确实工作差劲,法官我能再次质询,,,是的她是雇员之一是的法官你是知道菲奥娜记恨凯伦的她不是一个公正的证人菲奥娜对凯伦一直怀有积怨因为凯伦曾因她工作差劲开除了她凯伦开除她也可能是因为她要掩盖你们行为的真正本质我认识菲奥娜她确实工作差劲法官我能再次质询
100,为什么詹妮弗今天又没出席吗,詹妮弗身体抱恙,她无法出庭而且我已经递交了,她的医生提供的,证明此事实的相关文件,还有我被拒绝和她有任何接触法官,就像是葛蕾森小姐有意阻止我接近她,你有拒绝他探访吗玛拉,你不能阻止律师与他的客户接触,,,为什么詹妮弗今天又没出席吗詹妮弗身体抱恙她无法出庭而且我已经递交了她的医生提供的证明此事实的相关文件还有我被拒绝和她有任何接触法官就像是葛蕾森小姐有意阻止我接近她你有拒绝他探访吗玛拉你不能阻止律师与他的客户接触
101,法官这个人自称是她的律师,他无法出示任何有关证明,没有合同也没有订金,他只是突然出现在我的办公室里,制造威胁和控告,法官大人你和我都,不止一次见到过无良律师,为了老人们辛苦挣来的钱,寻求办法利用他们,,,法官这个人自称是她的律师他无法出示任何有关证明没有合同也没有订金他只是突然出现在我的办公室里制造威胁和控告法官大人你和我都不止一次见到过无良律师为了老人们辛苦挣来的钱寻求办法利用他们
102,我想这就是为什么埃里克森先生想要,彼得森小姐脱离我的保护,那跟现在的情况恰恰相反,先生你能提供任何书面文件,来证明你是彼得森女士的律师吗,如果我能接触到她,我保证她会签约聘请,所以詹妮弗彼得森还没,雇佣你做她的律师,,,我想这就是为什么埃里克森先生想要彼得森小姐脱离我的保护那跟现在的情况恰恰相反先生你能提供任何书面文件来证明你是彼得森女士的律师吗如果我能接触到她我保证她会签约聘请所以詹妮弗彼得森还没雇佣你做她的律师
103,我代表相关人士,代表非常担心詹妮弗的人,担心这个人一直以来,对詹妮弗的残暴对待,那这些相关人士是谁,我无权透露,他们是希望保持匿名的,彼得森女士的朋友,先生我们一直在绕圈子,,,我代表相关人士代表非常担心詹妮弗的人担心这个人一直以来对詹妮弗的残暴对待那这些相关人士是谁我无权透露他们是希望保持匿名的彼得森女士的朋友先生我们一直在绕圈子
104,要么给我看一下能证明,你是彼得森女士律师的文件,要么你带这些相关人士过来,参加听审并让他们代表自己发言,不过现在呢埃里克森先生,你要终止监护关系的请求被驳回了,先生,听着,好吧这是家事法庭,,,要么给我看一下能证明你是彼得森女士律师的文件要么你带这些相关人士过来参加听审并让他们代表自己发言不过现在呢埃里克森先生你要终止监护关系的请求被驳回了先生听着好吧这是家事法庭
105,好吗那个法官就是个混蛋,他是个白痴他根本不懂法律,就连他开的车都不上档次,别说了,闭嘴,去他妈的,早上好,早上好我叫威尔特史密斯,他们是我的兄弟托尼和查德,,,好吗那个法官就是个混蛋他是个白痴他根本不懂法律就连他开的车都不上档次别说了闭嘴去他妈的早上好早上好我叫威尔特史密斯他们是我的兄弟托尼和查德
106,我今早和你们的经理,莱斯先生约了一次设施的参观,太好了我会帮你打电话叫他的,谢谢,史密斯先生,史密斯先生,好的,玛拉,她去世了,,,我今早和你们的经理莱斯先生约了一次设施的参观太好了我会帮你打电话叫他的谢谢史密斯先生史密斯先生好的玛拉她去世了
107,谁,詹妮弗彼得森去世了,什么,什么时候,在年,当她三个月零九天大的时候,死于小儿麻痹,那个我们关着的女人玛拉,不是詹妮弗彼得森,,,谁詹妮弗彼得森去世了什么什么时候在年当她三个月零九天大的时候死于小儿麻痹那个我们关着的女人玛拉不是詹妮弗彼得森
108,她窃取了一个死去孩子的身份信息,你可以看到我们有,来看看这个,小儿麻痹再次夺走生命,我在旧报纸上找到了,那个死去女孩的讣告,当然了我们还有,最好的医护人员和现场设施,那么还有什么问题吗,,,她窃取了一个死去孩子的身份信息你可以看到我们有来看看这个小儿麻痹再次夺走生命我在旧报纸上找到了那个死去女孩的讣告当然了我们还有最好的医护人员和现场设施那么还有什么问题吗
109,其实有一个,我父亲有个朋友住在这儿,我们想看看能否打声招呼,这对我们很重要,当然了叫什么名字,詹妮弗彼得森,有什么问题吗,不行,詹妮弗身体不舒服她在休息,,,其实有一个我父亲有个朋友住在这儿我们想看看能否打声招呼这对我们很重要当然了叫什么名字詹妮弗彼得森有什么问题吗不行詹妮弗身体不舒服她在休息
110,我们会很快的,我们答应过父亲希望你能理解,当然了问题是詹妮弗的监护人规定,她只接守预约过的探访者,真奇怪她听着有点像囚犯,而不是来宾,不,不是的,这样吧不如,,,我们会很快的我们答应过父亲希望你能理解当然了问题是詹妮弗的监护人规定她只接守预约过的探访者真奇怪她听着有点像囚犯而不是来宾不不是的这样吧不如
111,我为你接通詹妮弗的监护人,然后看看我能做什么吧,好,喂你们把他怎么了,我去,来人救救莱斯先生,找到她去啊,救命,杰瑞,,,我为你接通詹妮弗的监护人然后看看我能做什么吧好喂你们把他怎么了我去来人救救莱斯先生找到她去啊救命杰瑞
112,该死,封锁大楼,那我们关的是谁,我不知道但这种被窃取身份的手段,非常高明,包括护照驾照工作关系,能回溯年的纳税纪录,他们洗刷了,真正詹妮弗彼得森的所有痕迹,,,该死封锁大楼那我们关的是谁我不知道但这种被窃取身份的手段非常高明包括护照驾照工作关系能回溯年的纳税纪录他们洗刷了真正詹妮弗彼得森的所有痕迹
113,包括她的死亡证明,玛拉葛蕾森,对,靠,我现在就过去,詹妮弗,女士,女士,查德,,,包括她的死亡证明玛拉葛蕾森对靠我现在就过去詹妮弗女士女士查德
114,谢谢,女士,趴下,女士,有人吗,闪开,快闪开,总算等到你了,开门,,,谢谢女士趴下女士有人吗闪开快闪开总算等到你了开门
115,你不想这样的,开门,听好了,我已经做好把你们全杀了,然后离开的准备,你们准备好为了阻止我而送死了吗,我就知道,谢谢,就在这边女士,,,你不想这样的开门听好了我已经做好把你们全杀了然后离开的准备你们准备好为了阻止我而送死了吗我就知道谢谢就在这边女士
116,嗨,别他妈碰我,那边,去你的,抓到你了,不不行,是啊假期结束了,走吧,武器已缴,,,嗨别他妈碰我那边去你的抓到你了不不行是啊假期结束了走吧武器已缴
117,手举起来转身,你叫什么名字,你为什么要绑架那个老太太,想打个电话吗,想吃个甜甜圈吗,他还不知道但我们在系统里,搜到了他他已经进去过几次了,他是谁,亚历克西伊格纳捷夫,,,手举起来转身你叫什么名字你为什么要绑架那个老太太想打个电话吗想吃个甜甜圈吗他还不知道但我们在系统里搜到了他他已经进去过几次了他是谁亚历克西伊格纳捷夫
118,尼古拉斯伊格纳捷夫的哥哥,曾是克利夫兰俄罗斯黑手党的,一名小头目,曾是,尼古拉斯七年前和他的老板,罗曼鲁涅夫共同死于一场火灾,那是一起纵火一次袭击,他们被抓到牟取私利,这俩混蛋是毒品走私犯,,,尼古拉斯伊格纳捷夫的哥哥曾是克利夫兰俄罗斯黑手党的一名小头目曾是尼古拉斯七年前和他的老板罗曼鲁涅夫共同死于一场火灾那是一起纵火一次袭击他们被抓到牟取私利这俩混蛋是毒品走私犯
119,还牵扯了一堆谋杀案,我们以为亚历克西也在大火中死了,但他出现在了这里,试图绑架你的被监护人,话说回来她是谁你的被监护人,谁也不是她是个退休的女商人,有钱吗,一般般吧,好吧也许这只是一次普通的抢劫,,,还牵扯了一堆谋杀案我们以为亚历克西也在大火中死了但他出现在了这里试图绑架你的被监护人话说回来她是谁你的被监护人谁也不是她是个退休的女商人有钱吗一般般吧好吧也许这只是一次普通的抢劫
120,你们今天做得很好阻止了他们,这家伙是个大坏蛋,帮我个忙,如果你听说了其他消息,记得告诉我们,当然弗兰基,卢,别叫我弗兰基了,你以前喜欢别人叫你弗兰基,,,你们今天做得很好阻止了他们这家伙是个大坏蛋帮我个忙如果你听说了其他消息记得告诉我们当然弗兰基卢别叫我弗兰基了你以前喜欢别人叫你弗兰基
121,是啊现在不是了,弗兰基,这都是以前的事了,我喜欢,弗兰基,不要,对是我,我需要一点东西,你好,,,是啊现在不是了弗兰基这都是以前的事了我喜欢弗兰基不要对是我我需要一点东西你好
122,抱歉我要关门了你有预约吗,本地医生被发现身亡,布莱顿县沙尔克罗斯,凯伦艾莫斯医生的尸体,在她的办公地点被发现,警方称尽管已经放弃搜查,但仍不能确定是否为自杀,弗兰,玛拉,,,抱歉我要关门了你有预约吗本地医生被发现身亡布莱顿县沙尔克罗斯凯伦艾莫斯医生的尸体在她的办公地点被发现警方称尽管已经放弃搜查但仍不能确定是否为自杀弗兰玛拉
123,你听说凯伦的事了吗,是啊我的天啊宝贝,好收拾行李,我们得走他们既然杀了她,我们就是下一个,我们还不确定是他们杀了她,凯伦也许有别的我们不知道的麻烦,真的吗你觉得是这样,好吧,,,你听说凯伦的事了吗是啊我的天啊宝贝好收拾行李我们得走他们既然杀了她我们就是下一个我们还不确定是他们杀了她凯伦也许有别的我们不知道的麻烦真的吗你觉得是这样好吧
124,玛拉我不想你的脑袋也挨枪子,我也不想挨枪子,那我们就不会挨枪子,玛拉我们找到詹妮弗彼得森,是因为她是肥羊,一个无依无靠没有子女的独居肥羊,但是她她是盘根错节的蜘蛛网,而我们都会被困在网里,也许会吧但也许不会,,,玛拉我不想你的脑袋也挨枪子我也不想挨枪子那我们就不会挨枪子玛拉我们找到詹妮弗彼得森是因为她是肥羊一个无依无靠没有子女的独居肥羊但是她她是盘根错节的蜘蛛网而我们都会被困在网里也许会吧但也许不会
125,他们持枪闯进了疗养所,他们是俄罗斯黑手党玛拉,前俄罗斯黑手党,玛拉你他妈打包吧,靠,柯蒂斯我是玛拉,是的我们看到了,我知道,对你应该关闭办公室,,,他们持枪闯进了疗养所他们是俄罗斯黑手党玛拉前俄罗斯黑手党玛拉你他妈打包吧靠柯蒂斯我是玛拉是的我们看到了我知道对你应该关闭办公室
126,挺过这段时间好吗,你能尽快给我发一份我们在册的,所有空置未售的房产名单吗,越快越好,好,谢谢再见,不会有事的,詹妮弗你感觉怎么样,很好,,,挺过这段时间好吗你能尽快给我发一份我们在册的所有空置未售的房产名单吗越快越好好谢谢再见不会有事的詹妮弗你感觉怎么样很好
127,听说艾莫斯医生的事了,亚历克西是你的儿子吗,什么不是那个蠢货,但是你跟俄罗斯黑手党有关系,他下一个会杀了你,我是说除非你现在让我出去,说不定他会饶你一命,詹妮弗你给我听好了,我的字典里没有输这个字,,,听说艾莫斯医生的事了亚历克西是你的儿子吗什么不是那个蠢货但是你跟俄罗斯黑手党有关系他下一个会杀了你我是说除非你现在让我出去说不定他会饶你一命詹妮弗你给我听好了我的字典里没有输这个字
128,我不会输的,我绝不会让你走,你是我的,我还会榨干你的钱,你的舒适和你的自尊,不是因为我想这样,不是因为我享受这样,或者我计划这么干,而是因为你的人不按规矩来,,,我不会输的我绝不会让你走你是我的我还会榨干你的钱你的舒适和你的自尊不是因为我想这样不是因为我享受这样或者我计划这么干而是因为你的人不按规矩来
129,你想击垮我,那就光明正大地冲我来,把我送上法庭赢过我,你不应该把枪带进疗养院,不应该杀我朋友,这就是你现在的处境詹妮弗,你不过是一个有老年痴呆,大小便失禁关节炎,住在疗养院的老太婆罢了,,,你想击垮我那就光明正大地冲我来把我送上法庭赢过我你不应该把枪带进疗养院不应该杀我朋友这就是你现在的处境詹妮弗你不过是一个有老年痴呆大小便失禁关节炎住在疗养院的老太婆罢了
130,除了我,你谁也别想见,詹妮弗,或者不管你是谁,你会死在这里,独自一人并且承受巨大的病痛,喂放开她,放手,这就对了放开她轻轻地松手,,,除了我你谁也别想见詹妮弗或者不管你是谁你会死在这里独自一人并且承受巨大的病痛喂放开她放手这就对了放开她轻轻地松手
131,不要,她才是坏人,天啊,玛拉你没事吧,她伤到你了吗,只是皮肉伤,我很幸运但是下次呢,如您所见她的精神健康严重恶化,如这位医生所描述的那样,,,不要她才是坏人天啊玛拉你没事吧她伤到你了吗只是皮肉伤我很幸运但是下次呢如您所见她的精神健康严重恶化如这位医生所描述的那样
132,彼得森女士有幻想症妄想症,并且有暴力倾向,她对别人和她自己来说,都是个危险的存在,她的医生和我本人都建议,马上把她送到安全的精神病院,在那里,她的需求会得到更充分的照顾,我同意,,,彼得森女士有幻想症妄想症并且有暴力倾向她对别人和她自己来说都是个危险的存在她的医生和我本人都建议马上把她送到安全的精神病院在那里她的需求会得到更充分的照顾我同意
133,不用担心,这属于你的一个被监护人,我只需要一个大概的价格估计伊,这块石头品质很高,可不是什么廉价品,能值多少钱零售价,万也许能卖万美元,这颗很不错的,你介意替我保管一段时间吗,,,不用担心这属于你的一个被监护人我只需要一个大概的价格估计伊这块石头品质很高可不是什么廉价品能值多少钱零售价万也许能卖万美元这颗很不错的你介意替我保管一段时间吗
134,锁在你保险箱里,有麻烦吗,不是,不我只是要出去跑腿,不想一整天都放在包里,谢了,弗兰向你问好,她让我问问你哥麦奇的情况,麦奇,,,锁在你保险箱里有麻烦吗不是不我只是要出去跑腿不想一整天都放在包里谢了弗兰向你问好她让我问问你哥麦奇的情况麦奇
135,对他还做买卖吗,为什么你需要黑市吗,以后也许会,迈克尔还在到处做买卖,很好,嗨怎么样了,她把鱼饵甩给麦奇了吗,对他可能是个出路,很好,,,对他还做买卖吗为什么你需要黑市吗以后也许会迈克尔还在到处做买卖很好嗨怎么样了她把鱼饵甩给麦奇了吗对他可能是个出路很好
136,喂你带了我们的护照吗,护照,该死,我去宝贝没有我没带你呢,该死没有,我离家很近,你想的话我可以去拿一趟,我觉得以防万一我们应该拿一下,但要小心啊,,,喂你带了我们的护照吗护照该死我去宝贝没有我没带你呢该死没有我离家很近你想的话我可以去拿一趟我觉得以防万一我们应该拿一下但要小心啊
137,好,老地方见,行就这样,好,拜,怎么了,我的天啊你没事吧,我不知道我觉得有人,我的天,,,好老地方见行就这样好拜怎么了我的天啊你没事吧我不知道我觉得有人我的天
138,放开我,你好玛拉葛蕾森,我不喜欢你,你才刚见到我,知道吗,你让我想起了一个我年轻时认识的人,她像你一样火爆,有趣自信,不愿合作,,,放开我你好玛拉葛蕾森我不喜欢你你才刚见到我知道吗你让我想起了一个我年轻时认识的人她像你一样火爆有趣自信不愿合作
139,我用面包刀把她的手指都切掉了,她现在被埋在吉米约翰餐馆下面了,不要低估我,你是谁,一个危险的人物,你的名片上就这样写的,你现在应该害怕,为什么,你要再做一次大型演讲吗,,,我用面包刀把她的手指都切掉了她现在被埋在吉米约翰餐馆下面了不要低估我你是谁一个危险的人物你的名片上就这样写的你现在应该害怕为什么你要再做一次大型演讲吗
140,老天爷啊,你从我这儿偷了东西,不仅仅是一个老太太,你知道我在说什么,现在我的人正在找你偷的东西,他们会掀了你的办公室你的家,并且如果他们没找到该找的,我会把你慢慢撕碎,直到你告诉我它们在哪,,,老天爷啊你从我这儿偷了东西不仅仅是一个老太太你知道我在说什么现在我的人正在找你偷的东西他们会掀了你的办公室你的家并且如果他们没找到该找的我会把你慢慢撕碎直到你告诉我它们在哪
141,玛拉你认得这个女人吗,那是你妈妈不是吗,我毁了你之后我会毁了她,随便我才不在乎那个反社会变态,对了我,我不喜欢生气,我更喜欢保持冷静,但你已经破坏了,我花费多年精心打造的生活,,,玛拉你认得这个女人吗那是你妈妈不是吗我毁了你之后我会毁了她随便我才不在乎那个反社会变态对了我我不喜欢生气我更喜欢保持冷静但你已经破坏了我花费多年精心打造的生活
142,你知道我是谁吗,不知道但我觉得我能猜到,你要么是尼古拉斯伊格纳捷夫,要么是罗曼鲁涅夫,我猜你是罗曼鲁涅夫,因为比起一个战士你更像一个老板,所以你伪造了自己的死亡,害怕你克利夫兰的朋友们,会利用你母亲把你揪出来,,,你知道我是谁吗不知道但我觉得我能猜到你要么是尼古拉斯伊格纳捷夫要么是罗曼鲁涅夫我猜你是罗曼鲁涅夫因为比起一个战士你更像一个老板所以你伪造了自己的死亡害怕你克利夫兰的朋友们会利用你母亲把你揪出来
143,所以你把她变成了詹妮弗彼得森,我现在要杀了你,好的,你不怕死,你还记得年有多恐怖吗,不我也不记得因为我还没出生呢,但我死的时候,感觉也不会有什么区别,什么感觉都没有了为什么要害怕,,,所以你把她变成了詹妮弗彼得森我现在要杀了你好的你不怕死你还记得年有多恐怖吗不我也不记得因为我还没出生呢但我死的时候感觉也不会有什么区别什么感觉都没有了为什么要害怕
144,总之你不需要杀我,当你派那个带着一整箱钱的律师,过来的时候,你的直觉是对的我愿意被收买,你的人只是出价太低了,你有没有预期数字,有,我要一千万美元,你当然这么想了,,,总之你不需要杀我当你派那个带着一整箱钱的律师过来的时候你的直觉是对的我愿意被收买你的人只是出价太低了你有没有预期数字有我要一千万美元你当然这么想了
145,你很,你很勇敢葛蕾森女士,愚蠢但是很勇敢,要在这个国家成功你必须勇敢,还要愚蠢无情专心致志,因为公平竞争畏首畏尾,什么都带不来,只会带来你的失败,你知道的,,,你很你很勇敢葛蕾森女士愚蠢但是很勇敢要在这个国家成功你必须勇敢还要愚蠢无情专心致志因为公平竞争畏首畏尾什么都带不来只会带来你的失败你知道的
146,而我想要有钱鲁涅夫先生,我想要,非常的有钱,而我的赌注就是一千万美元,对你来说不是什么大钱,但对我来说这只是个开始,这样就足够把钱当武器了,当成压迫手段,像真正的有钱人做的那样,,,而我想要有钱鲁涅夫先生我想要非常的有钱而我的赌注就是一千万美元对你来说不是什么大钱但对我来说这只是个开始这样就足够把钱当武器了当成压迫手段像真正的有钱人做的那样
147,那就是我想要的,你手里没有牌,我有你妈妈和你的钻石,我保证如果我死了,你永远都别想看到那些钻石了,然后在这样的情况下,救你的母亲脱困会非常复杂,在她重获自由之前,那还需要好几年的努力,,,那就是我想要的你手里没有牌我有你妈妈和你的钻石我保证如果我死了你永远都别想看到那些钻石了然后在这样的情况下救你的母亲脱困会非常复杂在她重获自由之前那还需要好几年的努力
148,如果她能撑到那时候的话,给我钱就行了,这是最简单的方法,除掉她,要确保手法看着自然一点,你有公共电话吗,如果你让我用下你的手机,我就给你美元,嗨我是弗兰请给我留言,,,如果她能撑到那时候的话给我钱就行了这是最简单的方法除掉她要确保手法看着自然一点你有公共电话吗如果你让我用下你的手机我就给你美元嗨我是弗兰请给我留言
149,你能给我叫辆出租车吗,弗兰,宝贝不,我的天啊,弗兰,弗兰,玛拉,我以为我们都死了,没有,,,你能给我叫辆出租车吗弗兰宝贝不我的天啊弗兰弗兰玛拉我以为我们都死了没有
150,我们还活着亲爱的,待售,我好怕,我真的很抱歉,我很抱歉,没事的,莉莉布莱特牙科,你感觉怎么样,好多了,,,我们还活着亲爱的待售我好怕我真的很抱歉我很抱歉没事的莉莉布莱特牙科你感觉怎么样好多了
151,那是什么玛拉,这是我们俄罗斯朋友开的车的牌照,弗兰只要你开口我们就走,找一个新地方重新开始,只有我们,然后做什么,我们失去了一切,不是一切哦,我们可以带着它们逃跑,,,那是什么玛拉这是我们俄罗斯朋友开的车的牌照弗兰只要你开口我们就走找一个新地方重新开始只有我们然后做什么我们失去了一切不是一切哦我们可以带着它们逃跑
